Month/Year: 12/2012
Station Location: LAURENCE G HANSCOM FLD APT (14702)
Lat: 42.47
Lon: -71.289
Elev: 133 ft. above sea level
WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
14702,20121201,0056,12,OVC041, ,10.00, , , ,29, ,-1.7, ,23, ,-5.0, ,7, ,-13.9, , 39, , 5, ,010, , , ,30.40, ,2, ,004, ,30.60, ,AA, , , ,30.55, 
14702,20121201,0156,12,OVC039, ,10.00, , , ,29, ,-1.7, ,23, ,-4.8, ,9, ,-12.8, , 43, , 5, ,360, , , ,30.42, , , , , ,30.62, ,AA, , , ,30.57, 
14702,20121201,0256,12,BKN045 OVC060, ,10.00, , , ,28, ,-2.2, ,23, ,-4.9, ,11, ,-11.7, , 49, , 6, ,020, , , ,30.41, , , , , ,30.61, ,AA, , , ,30.56, 
14702,20121201,0356,12,OVC070, ,10.00, , , ,28, ,-2.2, ,24, ,-4.6, ,13, ,-10.6, , 53, , 6, ,020, , , ,30.40, ,8, ,002, ,30.60, ,AA, , , ,30.55, 
14702,20121201,0456,12,OVC050, ,10.00, , , ,27, ,-2.8, ,22, ,-5.4, ,10, ,-12.2, , 49, , 5, ,010, , , ,30.40, , , , , ,30.60, ,AA, , , ,30.55, 
14702,20121201,0556,12,OVC038, ,10.00, , , ,28, ,-2.2, ,23, ,-5.0, ,10, ,-12.2, , 47, , 7, ,020, , , ,30.42, , , , , ,30.62, ,AA, , , ,30.57, 
14702,20121201,0656,12,OVC030, ,10.00, , , ,27, ,-2.8, ,23, ,-5.1, ,12, ,-11.1, , 53, , 5, ,350, , , ,30.45, ,3, ,016, ,30.65, ,AA, , , ,30.60, 
14702,20121201,0756,12,OVC036, , 6.00, ,-SN, ,27, ,-2.8, ,23, ,-4.7, ,15, ,-9.4, , 61, , 6, ,340, , , ,30.46, , , , , ,30.66, ,AA, ,  T, ,30.61, 
14702,20121201,0828,12,OVC010, , 3.00, ,-SN BR, ,27, ,-3.0, ,24, ,-4.3, ,18, ,-8.0, , 69, , 3, ,030, , , ,30.46, , , , , ,M, ,SP, , , ,30.61, 
14702,20121201,0852,12,OVC021, , 1.25, ,-SN, ,27, ,-3.0, ,24, ,-4.1, ,19, ,-7.0, , 72, , 3, ,360, , , ,30.47, , , , , ,M, ,SP, , , ,30.62, 
